11 bond.dat
 0 1    1.09000e-01  2.84512e+05   
 0 2    1.09000e-01  2.84512e+05
 0 3    1.09000e-01  2.84512e+05
 0 4    1.52200e-01  2.65266e+05
 4 5    1.22900e-01  4.76976e+05
 4 6    1.33500e-01  4.10032e+05
 6 7    1.44900e-01  2.82002e+05
 6 11   1.01000e-01  3.63171e+05
 7 8    1.09000e-01  2.84512e+05
 7 9    1.09000e-01  2.84512e+05
 7 10   1.09000e-01  2.84512e+05 
18 ang.dat
 1 0 2    1.07800e+02  2.76144e+02
 1 0 3    1.07800e+02  2.76144e+02
 1 0 4    1.09500e+02  2.92880e+02
 2 0 3    1.07800e+02  2.76144e+02
 2 0 4    1.09500e+02  2.92880e+02
 3 0 4    1.09500e+02  2.92880e+02
 0 4 5    1.20400e+02  6.69440e+02
 0 4 6    1.16600e+02  5.85760e+02
 5 4 6    1.22900e+02  6.69440e+02
 4 6 7    1.21900e+02  4.18400e+02
 4 6 11   1.19800e+02  2.92880e+02
 7 6 11   1.18400e+02  3.17984e+02
 6 7 8    1.09500e+02  2.92880e+02
 6 7 9    1.09500e+02  2.92880e+02
 6 7 10   1.09500e+02  2.92880e+02
 8 7 9    1.07800e+02  2.76144e+02
 8 7 10   1.07800e+02  2.76144e+02
 9 7 10   1.07800e+02  2.76144e+02
7 dihe.dat
 0 4 6 7   3.02879800e+01 -4.81160000e+00 -2.54763800e+01  0.00000000e+00
 0 4 6 11  2.05016000e+01  0.00000000e+00 -2.05016000e+01  0.00000000e+00
 5 4 6 7   2.54763800e+01  0.00000000e+00 -2.54763800e+01  0.00000000e+00
 5 4 6 11  2.05016000e+01  0.00000000e+00 -2.05016000e+01  0.00000000e+00
 4 6 7 8  -2.90790000e-01 -8.72370000e-01  0.00000000e+00  1.16315000e+00
 4 6 7 9  -2.90790000e-01 -8.72370000e-01  0.00000000e+00  1.16315000e+00
 4 6 7 10 -2.90790000e-01 -8.72370000e-01  0.00000000e+00  1.16315000e+00
16 LJ14.dat
 0 7  1.01525205e-03  1.86630294e-06
 0 11 0.00000000e+00  0.00000000e+00
 1 5  2.69145489e-04  1.09064212e-07
 1 6  3.20536041e-04  1.71928145e-07
 2 5  2.69145489e-04  1.09064212e-07
 2 6  3.20536041e-04  1.71928145e-07
 3 5  2.69145489e-04  1.09064212e-07
 3 6  3.20536041e-04  1.71928145e-07
 4 8  3.86982011e-04  3.18863352e-07
 4 9  3.86982011e-04  3.18863352e-07
 4 10 3.86982011e-04  3.18863352e-07
 5 7  1.09542476e-03  1.21804075e-06
 5 11 0.00000000e+00  0.00000000e+00
 8 11 0.00000000e+00  0.00000000e+00
 9 11 0.00000000e+00  0.00000000e+00
10 11 0.00000000e+00  0.00000000e+00
