  4.770   1.735   1.314 
  4.790   1.795   1.222 
  4.820   1.646   1.311 
  4.670   1.720   1.315 
  4.804   1.821   1.437 
  4.725   1.813   1.537 
  4.914   1.898   1.448 
  5.019   1.912   1.350 
  5.093   1.828   1.349 
  4.976   1.923   1.253 
  5.063   2.005   1.383 
  4.911   1.944   1.536 
  0.982   2.664   4.241 
  0.910   2.590   4.219 
  0.958   2.730   4.328 
  0.979   2.728   4.156 
  1.115   2.588   4.242 
  1.128   2.496   4.160 
  1.219   2.634   4.311 
  1.224   2.761   4.385 
  1.130   2.809   4.387 
  1.271   2.740   4.482 
  1.297   2.829   4.336 
  1.308   2.577   4.307 
  2.005   2.909   3.216 
  2.043   2.843   3.302 
  1.940   2.984   3.270 
  1.935   2.849   3.158 
  2.116   2.974   3.137 
  2.232   2.959   3.172 
  2.092   3.031   3.022 
  1.961   3.037   2.951 
  1.921   3.134   2.947 
  1.984   3.001   2.852 
  1.877   2.974   2.992 
  2.165   3.086   2.975 
  4.422   4.264   3.321 
  4.533   4.276   3.326 
  4.378   4.330   3.237 
  4.375   4.293   3.414 
  4.408   4.115   3.288 
  4.368   4.083   3.182 
  4.436   4.018   3.376 
  4.477   4.031   3.518 
  4.501   4.133   3.559 
  4.396   3.995   3.583 
  4.558   3.958   3.546 
  4.430   3.920   3.348 
  3.702   3.690   2.242 
  3.740   3.772   2.198 
  3.776   3.607   2.257 
  3.629   3.651   2.173 
  3.647   3.723   2.378 
  3.574   3.643   2.439 
  3.660   3.841   2.434 
  3.694   3.975   2.385 
  3.602   4.039   2.405 
  3.770   4.025   2.446 
  3.705   3.982   2.279 
  3.602   3.838   2.515 
  4.524   2.080   0.938 
  4.449   2.133   0.993 
  4.542   1.977   0.984 
  4.603   2.153   0.955 
  4.482   2.080   0.785 
  4.556   2.146   0.709 
  4.366   2.037   0.746 
  4.275   1.978   0.842 
  4.314   1.904   0.913 
  4.229   2.068   0.899 
  4.186   1.933   0.796 
  4.339   2.053   0.648 
  0.148   2.260   2.280 
  0.256   2.267   2.284 
  0.121   2.192   2.362 
  0.122   2.212   2.185 
  0.088   2.401   2.291 
  0.115   2.483   2.380 
 -0.020   2.423   2.209 
 -0.087   2.333   2.112 
 -0.173   2.280   2.165 
 -0.136   2.385   2.031 
 -0.026   2.266   2.069 
 -0.048   2.517   2.210 
  3.936   2.199   2.637 
  3.935   2.092   2.634 
  4.020   2.232   2.572 
  3.956   2.222   2.744 
  3.817   2.275   2.572 
  3.724   2.207   2.520 
  3.811   2.408   2.582 
  3.925   2.488   2.619 
  3.915   2.593   2.606 
  3.933   2.477   2.724 
  4.014   2.450   2.566 
  3.732   2.470   2.565 
  3.987   4.665   0.844 
  4.078   4.687   0.787 
  4.008   4.580   0.895 
  3.903   4.653   0.780 
  3.961   4.790   0.923 
  3.939   4.895   0.864 
  3.975   4.798   1.057 
  4.010   4.684   1.150 
  4.109   4.643   1.130 
  4.009   4.726   1.248 
  3.928   4.612   1.151 
  3.931   4.883   1.099 
  1.245   2.369   1.101 
  1.323   2.345   1.035 
  1.202   2.278   1.129 
  1.174   2.434   1.051 
  1.308   2.427   1.226 
  1.275   2.384   1.332 
  1.400   2.530   1.222 
  1.429   2.613   1.106 
  1.449   2.714   1.139 
  1.523   2.577   1.058 
  1.355   2.611   1.022 
  1.442   2.560   1.304 
  0.045   1.211   2.399 
 -0.036   1.220   2.476 
  0.048   1.296   2.332 
  0.007   1.133   2.330 
  0.188   1.189   2.449 
  0.268   1.144   2.363 
  0.220   1.216   2.579 
  0.134   1.277   2.675 
  0.105   1.202   2.747 
  0.192   1.357   2.710 
  0.042   1.322   2.635 
  0.314   1.209   2.606 
  4.239   1.788   1.653 
  4.341   1.822   1.623 
  4.179   1.872   1.688 
  4.243   1.714   1.734 
  4.155   1.729   1.539 
  4.062   1.797   1.496 
  4.205   1.636   1.462 
  4.334   1.563   1.491 
  4.328   1.502   1.583 
  4.367   1.496   1.408 
  4.419   1.632   1.502 
  4.147   1.610   1.385 
  1.021   3.059   2.176 
  0.952   3.104   2.244 
  0.983   3.055   2.075 
  1.015   2.955   2.202 
  1.158   3.130   2.190 
  1.163   3.235   2.259 
  1.263   3.084   2.123 
  1.260   2.966   2.037 
  1.270   2.979   1.930 
  1.339   2.906   2.085 
  1.172   2.913   2.050 
  1.359   3.126   2.134 
  3.641   1.961   1.842 
  3.740   2.010   1.854 
  3.600   1.986   1.744 
  3.571   2.012   1.914 
  3.656   1.814   1.879 
  3.557   1.748   1.913 
  3.774   1.744   1.878 
  3.901   1.772   1.811 
  3.892   1.832   1.720 
  3.973   1.814   1.878 
  3.938   1.680   1.771 
  3.757   1.648   1.906 
  2.661   2.930   2.146 
  2.736   2.953   2.070 
  2.558   2.928   2.107 
  2.669   3.012   2.221 
  2.708   2.797   2.201 
  2.825   2.773   2.176 
  2.626   2.693   2.235 
  2.480   2.699   2.248 
  2.443   2.621   2.307 
  2.442   2.794   2.292 
  2.425   2.690   2.154 
  2.667   2.604   2.276 
  3.846   1.508   1.386 
  3.793   1.415   1.401 
  3.927   1.498   1.459 
  3.800   1.603   1.410 
  3.912   1.523   1.250 
  4.029   1.548   1.249 
  3.847   1.494   1.134 
  3.703   1.465   1.124 
  3.654   1.546   1.178 
  3.667   1.455   1.021 
  3.672   1.374   1.178 
  3.892   1.511   1.045 
  0.711   3.961   2.709 
  0.659   3.953   2.806 
  0.702   4.060   2.656 
  0.686   3.883   2.634 
  0.863   3.918   2.722 
  0.945   3.999   2.685 
  0.896   3.785   2.736 
  0.806   3.674   2.781 
  0.757   3.631   2.701 
  0.858   3.597   2.841 
  0.725   3.710   2.856 
  0.989   3.748   2.721 
  0.594   0.423   2.897 
  0.627   0.528   2.911 
  0.677   0.359   2.857 
  0.517   0.402   2.821 
  0.562   0.348   3.030 
  0.628   0.255   3.075 
  0.464   0.398   3.110 
  0.390   0.521   3.085 
  0.296   0.522   3.140 
  0.438   0.613   3.114 
  0.370   0.529   2.977 
  0.431   0.345   3.194 
  0.254   2.168   3.013 
  0.288   2.082   2.948 
  0.145   2.163   3.015 
  0.274   2.244   2.947 
  0.311   2.166   3.155 
  0.368   2.262   3.195 
  0.258   2.077   3.239 
  0.186   1.957   3.202 
  0.169   1.900   3.290 
  0.095   1.993   3.165 
  0.224   1.885   3.133 
  0.289   2.083   3.336 
  2.750   0.448   1.919 
  2.768   0.528   1.984 
  2.654   0.465   1.869 
  2.754   0.359   1.980 
  2.867   0.441   1.814 
  2.833   0.433   1.694 
  2.990   0.449   1.858 
  3.043   0.441   1.995 
  3.107   0.531   2.019 
  2.964   0.435   2.069 
  3.102   0.353   2.012 
  3.059   0.466   1.781 
  3.073   2.897   4.938 
  3.157   2.958   4.970 
  3.037   2.837   5.025 
  3.095   2.825   4.854 
  2.965   2.993   4.881 
  2.929   2.983   4.762 
  2.900   3.064   4.973 
  2.947   3.104   5.104 
  3.011   3.034   5.138 
  3.003   3.196   5.086 
  2.864   3.109   5.174 
  2.812   3.103   4.929 
  4.404   0.180   0.994 
  4.355   0.089   1.023 
  4.351   0.270   1.019 
  4.427   0.184   0.889 
